,103
331,171
332,171
333,171
334,171
335,172
336,172
337,172
338,173
339,172
340,172
341,173
342,174
343,175
344,176
345,176
346,177
347,179
348,179
349,179
350,180
351,181
352,183
353,183
354,185
355,185
356,186
357,185
358,183
359,181
360,183
361,185
362,185
363,186
364,186
365,186
366,185
367,187
368,187
369,187
370,187
371,188
372,188
373,191
374,192
375,192
376,192
377,192
378,193
379,193
380,193
381,193
382,194
383,194
384,194
385,194
386,195
387,196
388,195
389,196
390,197
391,197
392,198
393,199
394,200
395,202
396,204
397,203
398,203
399,204
400,204
401,208
402,208
403,208
404,208
405,208
406,209
407,211
408,212
409,214
410,212
411,212
412,212
413,213
414,217
415,217
416,217
417,217
418,217
419,217
420,217
421,217
422,217
423,217
424,219
425,219
426,219
427,219
428,219
429,219
430,219
431,219
432,219
433,220
434,222
435,222
436,219
437,219
438,220
439,221
440,221
441,222
442,222
443,222
444,221
445,220
446,222
447,222
448,222
449,222
450,222
451,223
452,223
453,225
454,225
455,226
456,227
457,229
458,229
459,229
460,232
461,232
462,230
463,231
464,231
465,230
466,230
467,231
468,232
469,233
470,234
471,233
472,233
473,233
474,234
475,234
476,235
477,236
478,236
479,236
480,236
481,236
482,236
483,236
484,238
485,237
486,238
487,239
488,239
489,239
490,237
491,240
492,242
493,241
494,242
495,242
496,242
497,242
498,243
499,243
500,243
501,244
502,245
503,245
504,246
505,246
506,246
507,245
508,246
509,246
510,247
511,250
512,253
513,253
514,253
515,253
516,253
517,253
518,254
519,253
520,253
521,254
522,254
523,255
524,257
525,257
526,256
527,258
528,259
529,260
530,260
531,260
532,260
533,261
534,261
535,261
536,261
537,261
538,262
539,262
540,262
541,265
542,266
543,266
544,266
545,266
546,267
547,268
548,266
549,265
550,265
551,265
552,264
553,266
554,267
555,267
556,267
557,267
558,267
559,268
560,268
561,268
562,269
563,269
564,269
565,267
566,268
567,268
568,270
569,269
570,269
571,270
572,272
573,272
574,273
575,273
576,273
577,274
578,274
579,272
580,273
581,273
582,273
583,274
584,274
585,275
586,275
587,275
588,276
589,278
590,278
591,279
592,281
593,282
594,284
595,284
596,284
597,285
598,285
599,286
600,287
601,287
602,287
603,288
604,288
605,290
606,290
607,294
608,294
609,294
610,292
611,292
612,295
613,295
614,296
615,296
616,296
617,296
618,299
619,300
620,302
621,303
622,306
623,306
624,307
625,309
626,310
627,310
628,310
629,310
630,311
631,312
632,312
633,312
634,313
635,313
636,313
637,313
638,313
639,314
640,315
641,315
642,315
643,316
644,317
645,317
646,317
647,317
648,318
649,319
650,320
651,321
652,321
653,321
654,322
655,324
656,324
657,324
658,326
659,326
660,326
661,326
662,328
663,328
664,330
665,331
666,331
667,332
668,332
669,331
670,332
671,332
672,332
673,332
674,334
675,336
676,336
677,336
678,336
679,337
680,337
681,336
682,337
683,337
684,338
685,339
686,340
687,340
688,340
689,338
690,339
691,339
692,342
693,342
694,343
695,343
696,343
697,344
698,344
699,346
700,346
701,348
702,349
703,348
704,350
705,350
706,350
707,350
708,351
709,348
710,349
711,350
712,349
713,350
714,351
715,352
716,352
717,354
718,356
719,356
720,357
721,357
722,357
723,358
724,358
725,358
726,358
727,357
728,358
729,362
730,363
731,363
732,364
733,364
734,366
735,366
736,366
737,366
738,368
739,370
740,372
741,373
742,373
743,373
744,373
745,372
746,373
747,373
748,374
749,374
750,375
751,375
752,376
753,376
754,377
755,377
756,377
757,379
758,379
759,379
760,379
761,379
762,380
763,379
764,379
765,380
766,382
767,382
768,383
769,384
770,383
771,386
772,386
773,386
774,386
775,388
776,390
777,390
778,391
779,391
780,392
781,393
782,396
783,396
784,397
785,398
786,400
787,398
788,399
789,400
790,400
791,399
792,399
793,400
794,401
795,399
796,399
797,403
798,403
799,404
800,404
801,405
802,405
803,406
804,406
805,406
806,408
807,408
808,409
809,409
810,409
811,410
812,411
813,411
814,412
815,412
816,412
817,411
818,412
819,413
820,414
821,416
822,416
823,416
824,417
825,418
826,419
827,419
828,419
829,420
830,420
831,420
832,420
833,420
834,419
835,422
836,423
837,423
838,423
839,423
840,422
841,423
842,423
843,423
844,423
845,424
846,426
847,426
848,429
849,429
850,427
851,427
852,427
853,427
854,427
855,427
856,429
857,430
858,433
859,433
860,434
861,434
862,434
863,435
864,437
865,437
866,437
867,438
868,438
869,438
870,439
871,439
872,439
873,440
874,440
875,441
876,440
877,440
878,441
879,441
880,441
881,441
882,442
883,442
884,442
885,444
886,442
887,442
888,443
889,443
890,444
891,444
892,444
893,444
894,444
895,444
896,444
897,445
898,446
899,446
900,445
901,446
902,447
903,447
904,448
905,448
906,448
907,449
908,449
909,449
910,450
911,451
912,451
913,451
914,451
915,452
916,452
917,452
918,454
919,454
920,453
921,453
922,453
923,453
924,454
925,454
926,454
927,455
928,455
929,456
930,456
931,456
932,457
933,456
934,457
935,457
936,457
937,458
938,457
939,460
940,459
941,458
942,459
943,460
944,464
945,465
946,465
947,466
948,466
949,466
950,466
951,466
952,466
953,468
954,469
955,471
956,471
957,472
958,473
959,473
960,473
961,473
962,476
963,476
964,476
965,476
966,478
967,478
968,479
969,480
970,480
971,481
972,481
973,482
974,482
975,483
976,483
977,484
978,484
979,485
980,485
981,485
982,485
983,485
984,486
985,486
986,486
987,487
988,488
989,490
990,491
991,492
992,493
993,494
994,494
995,495
996,496
997,494
998,494
999,494
1000,494
1001,495
1002,495
1003,497
1004,497
1005,498
1006,498
1007,500
1008,502
1009,502
1010,502
1011,503
1012,503
1013,504
1014,505
1015,505
1016,505
1017,506
1018,507
1019,507
1020,509
1021,509
1022,510
1023,510
1024,510
1025,509
1026,512
1027,514
1028,514
1029,514
1030,514
1031,516
1032,516
1033,516
1034,517
1035,519
1036,519
1037,521
1038,522
1039,522
1040,523
1041,523
1042,523
1043,524
1044,522
1045,523
1046,524
1047,525
1048,524
1049,524
1050,525
1051,526
1052,527
1053,527
1054,527
1055,527
1056,529
1057,529
1058,529
1059,530
1060,529
1061,532
1062,532
1063,536
1064,536
1065,537
1066,537
1067,538
1068,538
1069,538
1070,539
1071,540
1072,540
1073,540
1074,541
1075,541
1076,541
1077,541
1078,541
1079,541
1080,541
1081,541
1082,544
1083,543
1084,544
1085,545
1086,545
1087,545
1088,546
1089,546
1090,546
1091,550
1092,550
1093,551
1094,550
1095,550
1096,551
1097,551
1098,552
1099,552
1100,552
1101,552
1102,554
1103,554
1104,554
1105,555
1106,555
1107,556
1108,558
1109,559
1110,559
1111,561
1112,560
1113,561
1114,562
1115,562
1116,561
1117,562
1118,563
1119,563
1120,563
1121,564
1122,564
1123,563
1124,564
1125,564
1126,565
1127,565
1128,565
1129,565
1130,565
1131,568
1132,568
1133,569
1134,569
1135,569
1136,571
1137,571
1138,573
1139,574
1140,573
1141,573
1142,573
1143,576
1144,576
1145,576
1146,577
1147,577
1148,578
1149,578
1150,579
1151,579
1152,580
1153,581
1154,581
1155,580
1156,581
1157,578
1158,576
1159,578
1160,578
1161,580
1162,580
1163,579
1164,580
1165,580
1166,582
1167,583
1168,586
1169,587
1170,587
1171,587
1172,588
1173,589
1174,590
1175,590
1176,590
1177,590
1178,590
1179,590
1180,587
1181,587
1182,588
1183,588
1184,589
1185,589
1186,589
1187,589
1188,591
1189,591
1190,592
1191,592
1192,593
1193,593
1194,593
1195,593
1196,593
1197,594
1198,597
1199,598
1200,598
1201,599
1202,601
1203,601
1204,601
1205,601
1206,602
1207,602
1208,603
1209,604
1210,603
1211,604
1212,605
1213,606
1214,606
1215,609
1216,609
1217,608
1218,608
1219,609
1220,610
1221,611
1222,611
1223,611
1224,613
1225,612
1226,612
1227,612
1228,612
1229,613
1230,612
1231,613
1232,612
1233,614
1234,614
1235,615
1236,615
1237,615
1238,615
1239,615
1240,616
1241,616
1242,616
1243,615
1244,616
1245,618
1246,619
1247,620
1248,621
1249,621
1250,621
1251,622
1252,621
1253,622
1254,623
1255,623
1256,623
1257,624
1258,626
1259,625
1260,626
1261,626
1262,627
1263,625
1264,627
1265,628
1266,627
1267,626
1268,626
1269,628
1270,628
1271,629
1272,629
1273,629
1274,630
1275,630
1276,631
1277,631
1278,632
1279,632
1280,633
1281,633
1282,634
1283,634
1284,634
1285,633
1286,634
1287,635
1288,635
1289,639
1290,639
1291,639
1292,640
1293,640
1294,639
1295,640
1296,640
1297,641
1298,642
1299,644
1300,644
1301,644
1302,644
1303,645
1304,646
1305,646
1306,646
1307,647
1308,647
1309,647
1310,649
1311,651
1312,651
1313,652
1314,651
1315,651
1316,652
1317,650
1318,651
1319,651
1320,651
1321,653
1322,653
1323,653
1324,654
1325,654
1326,655
1327,655
1328,655
1329,655
1330,654
1331,653
1332,653
1333,653
1334,653
1335,653
1336,654
1337,654
1338,653
1339,654
1340,655
1341,655
1342,658
1343,658
1344,658
1345,658
1346,659
1347,659
1348,660
1349,660
1350,660
1351,661
1352,661
1353,661
1354,661
1355,663
1356,664
1357,665
1358,665
1359,668
1360,669
1361,670
1362,670
1363,670
1364,670
1365,669
1366,669
1367,670
1368,669
1369,670
1370,670
1371,672
1372,672
1373,672
1374,674
1375,674
1376,674
1377,674
1378,675
1379,675
1380,675
1381,674
1382,675
1383,675
1384,675
1385,675
1386,675
1387,676
1388,677
1389,679
1390,680
1391,680
1392,680
1393,678
1394,679
1395,680
1396,682
1397,684
1398,685
1399,685
1400,685
1401,685
1402,685
1403,687
1404,687
1405,687
1406,687
1407,687
1408,688
1409,689
1410,689
1411,688
1412,689
1413,688
1414,688
1415,689
1416,690
1417,689
1418,690
1419,690
1420,690
1421,691
1422,691
1423,690
1424,690
1425,690
1426,691
1427,689
1428,691
1429,691
1430,693
1431,694
1432,692
1433,694
1434,694
1435,694
1436,694
1437,696
1438,697
1439,697
1440,697
1441,698
1442,698
1443,699
1444,700
1445,699
1446,700
1447,700
1448,701
1449,701
1450,701
1451,701
1452,701
1453,702
1454,702
1455,702
1456,705
1457,706
1458,706
1459,706
1460,707
1461,708
1462,709
1463,709
1464,709
1465,709
1466,709
1467,709
1468,710
1469,712
1470,712
1471,713
1472,712
1473,713
1474,713
1475,713
1476,711
1477,711
1478,711
1479,711
1480,713
1481,713
1482,715
1483,716
1484,716
1485,716
1486,716
1487,717
1488,718
1489,718
1490,719
1491,719
1492,719
1493,719
1494,719
1495,720
1496,720
1497,721
1498,721
1499,721
1500,722
1501,722
1502,722
1503,722
1504,722
1505,726
1506,726
1507,728
1508,729
1509,729
1510,730
1511,730
1512,730
1513,730
1514,731
1515,732
1516,731
1517,732
1518,733
1519,733
1520,735
1521,736
1522,738
1523,738
1524,738
1525,739
1526,740
1527,740
1528,742
1529,744
1530,744
1531,744
1532,744
1533,744
1534,746
1535,746
1536,746
1537,746
1538,747
1539,747
1540,748
1541,747
1542,748
1543,748
1544,747
1545,748
1546,747
1547,747
1548,747
1549,748
1550,748
1551,748
1552,749
1553,749
1554,751
1555,751
1556,751
1557,751
1558,752
1559,753
1560,753
1561,753
1562,754
1563,755
1564,755
1565,755
1566,755
1567,754
1568,753
1569,754
1570,755
1571,755
1572,755
1573,755
1574,756
1575,756
1576,756
1577,758
1578,758
1579,758
1580,759
1581,761
1582,761
1583,762
1584,762
1585,763
1586,763
1587,763
1588,763
1589,763
1590,763
1591,763
1592,763
1593,763
1594,763
1595,763
1596,763
1597,764
1598,765
1599,765
1600,766
1601,765
1602,765
1603,765
1604,765
1605,767
1606,768
1607,767
1608,768
1609,769
1610,770
1611,770
1612,771
1613,772
1614,772
1615,772
1616,772
1617,774
1618,775
1619,775
1620,775
1621,776
1622,776
1623,776
1624,776
1625,776
1626,776
1627,776
1628,776
1629,776
1630,776
1631,778
1632,779
1633,779
1634,781
1635,781
1636,782
1637,782
1638,782
1639,784
1640,784
1641,785
1642,785
1643,785
1644,787
1645,788
1646,788
1647,789
1648,789
1649,793
1650,793
1651,794
1652,795
1653,795
1654,795
1655,796
1656,796
1657,796
1658,796
1659,796
1660,796
1661,797
1662,799
1663,799
1664,801
1665,801
1666,801
1667,802
1668,803
1669,802
1670,802
1671,803
1672,803
1673,804
1674,804
1675,804
1676,806
1677,806
1678,807
1679,807
1680,807
1681,807
1682,808
1683,808
1684,808
1685,808
1686,811
1687,811
1688,812
1689,813
1690,813
1691,812
1692,810
1693,812
1694,812
1695,815
1696,815
1697,816
1698,816
1699,816
1700,816
1701,816
1702,815
1703,816
1704,816
1705,816
1706,818
1707,815
1708,817
1709,818
1710,818
1711,818
1712,820
1713,820
1714,821
1715,821
1716,821
1717,823
1718,823
1719,824
1720,824
1721,824
1722,825
1723,825
1724,826
1725,827
1726,827
1727,827
1728,828
1729,829
1730,829
1731,830
1732,830
1733,830
1734,831
1735,829
1736,829
1737,830
1738,832
1739,832
1740,832
1741,833
1742,833
1743,835
1744,837
1745,838
1746,838
1747,839
1748,839
1749,839
1750,838
1751,840
1752,840
1753,840
1754,842
1755,843
1756,845
1757,845
1758,845
1759,848
1760,848
1761,848
1762,848
1763,848
1764,849
1765,850
1766,851
1767,851
1768,855
1769,855
1770,856
1771,856
1772,856
1773,856
1774,857
1775,857
1776,857
1777,858
1778,858
1779,858
1780,858
1781,859
1782,860
1783,861
1784,861
1785,861
1786,863
1787,864
1788,864
1789,864
1790,864
1791,865
1792,866
1793,866
1794,867
1795,867
1796,867
1797,867
1798,867
1799,868
1800,868
1801,868
1802,869
1803,869
1804,869
1805,870
1806,867
1807,868
1808,868
1809,868
1810,868
1811,869
1812,869
1813,869
1814,869
1815,871
1816,872
1817,873
1818,873
1819,873
1820,873
1821,873
1822,875
1823,876
1824,876
1825,877
1826,877
1827,878
1828,876
1829,878
1830,878
1831,880
1832,879
1833,880
1834,881
1835,881
1836,881
1837,881
1838,882
1839,882
1840,882
1841,882
1842,883
1843,884
1844,884
1845,884
1846,884
1847,886
1848,886
1849,887
1850,887
1851,887
1852,887
1853,887
1854,887
1855,890
1856,890
1857,890
1858,890
1859,890
1860,892
1861,892
1862,893
1863,893
1864,893
1865,893
1866,893
1867,893
1868,895
1869,898
1870,899
1871,901
1872,901
1873,902
1874,902
1875,903
1876,904
1877,905
1878,907
1879,907
1880,907
1881,909
1882,909
1883,909
1884,911
1885,911
1886,913
1887,913
1888,913
1889,914
1890,914
1891,914
1892,914
1893,914
1894,914
1895,914
1896,915
1897,915
1898,916
1899,917
1900,918
1901,918
1902,918
1903,919
1904,919
1905,918
1906,915
1907,916
1908,916
1909,916
1910,916
1911,917
1912,917
1913,918
1914,918
1915,919
1916,919
1917,920
1918,920
1919,920
1920,920
1921,920
1922,922
1923,922
1924,923
1925,925
1926,925
1927,925
1928,926
1929,928
1930,928
1931,928
1932,928
1933,928
1934,928
1935,928
1936,928
1937,928
1938,928
1939,928
1940,929
1941,929
1942,931
1943,932
1944,935
1945,933
1946,934
1947,937
1948,938
1949,937
1950,937
1951,937
1952,937
1953,937
1954,937
1955,938
1956,938
1957,939
1958,939
1959,939
1960,939
1961,939
1962,940
1963,940
1964,940
1965,940
1966,941
1967,941
1968,941
1969,942
1970,943
1971,943
1972,944
1973,945
1974,945
1975,945
1976,944
1977,944
1978,947
1979,947
1980,947
1981,948
1982,948
1983,948
1984,948
1985,949
1986,950
1987,950
1988,950
1989,950
1990,952
1991,951
1992,952
1993,952
1994,952
1995,953
1996,953
1997,953
1998,954
